stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
6175,立敦,2,NULL,0,0,11.5,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
6176,瑞儀,1,NULL,0,0,102,2013-09-13 00:00:00.000,左擁蘋果右擁三星,NULL,5.2,N
6177,達麗,2,NULL,0,0,31.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6179,世仰,2,NULL,0,0,13.4,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6180,橘子,2,2013-04-26 00:00:00.000,0.0620284995808887,69,24.75,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6182,合晶,2,NULL,0,0,13.3,2013-09-13 00:00:00.000,LED藍寶石基板,NULL,NULL,N
6183,關貿,2,NULL,0,0,25.55,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
6184,大豐電,1,NULL,0,0,57.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6185,幃翔,2,2013-03-20 00:00:00.000,0.0481084468876536,33,23.2,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
6186,晶磊,2,NULL,0,0,38.45,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6187,萬潤,2,2013-03-18 00:00:00.000,0.0465035354579964,56,25.9,2013-09-13 00:00:00.000,NULL,NULL,5.1a,N
6188,廣明,2,NULL,0,0,28.75,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6189,豐藝,1,NULL,0,0,29.4,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
6190,萬泰,2,2013-04-26 00:00:00.000,0.0695386411643482,72,6.3,2013-09-13 00:00:00.000,NULL,NULL,3.1a,N
6191,精成科,1,NULL,0,0,9.89,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
6192,巨路,1,NULL,0,0,69.6,2013-09-13 00:00:00.000,鉅量突破W底；ADX11.55→19.29；週KD黃金交叉；過大量區高點41.95加碼。,NULL,4.2a,N
6194,育富,2,NULL,0,0,19.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6195,旭展,2,NULL,0,0,80,2013-09-13 00:00:00.000,NULL,NULL,5.1a,N
6196,帆宣,1,NULL,0,0,16.85,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6197,佳必琪,1,NULL,0,0,25.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6198,凌泰,2,NULL,0,0,8.39,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6199,精威,2,NULL,0,0,8.35,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6201,亞弘電,1,NULL,0,0,25.7,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6202,盛群,1,NULL,0,0,36,2013-09-13 00:00:00.000,拉回不破買進。主攻8位元微控制器（MCU），主打大陸家電市場。受惠中國的家電下鄉，近期又投入筆電，開拓消費、家電以外的需求。,http://www.wretch.cc/blog/eagle99/11080697,5.1,N
6203,海韻,2,NULL,0,0,35.9,2013-09-13 00:00:00.000,NULL,NULL,4.2,N
6204,艾華,2,NULL,0,0,23.4,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6205,詮欣,1,NULL,0,0,23.4,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6206,飛捷,1,NULL,0,0,97.6,2013-09-13 00:00:00.000,NULL,NULL,2.1;4.2;5.1,N
6207,雷科,2,NULL,0,0,17.8,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
